date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:12	62320/62320	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:00%20GMT	https://html.themewin.com/edurock-preview/edurock/	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:13	62333/62333	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:00%20GMT	https://html.themewin.com/edurock-preview/edurock/blog-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/blog-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:13	72349/72349	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:00%20GMT	https://html.themewin.com/edurock-preview/edurock/	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:13	72364/72364	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:00%20GMT	https://html.themewin.com/edurock-preview/edurock/blog-details-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/blog-details-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:13	109215/109215	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:14	109231/109231	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:14	97940/97940	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-list.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-list.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:14	97953/97953	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-list-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-list-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:15	97930/97930	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-grid.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-grid.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:15	97945/97945	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-grid-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-grid-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:15	111049/111049	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:16	111072/111072	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-details-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-details-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:16	110916/110916	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-details-2.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-details-2.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:16	110929/110929	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-details-2-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-details-2-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:17	110879/110879	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-details-3.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-details-3.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:17	110904/110904	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/course-details-3-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/course-details-3-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:17	100568/100568	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:17	84244/84244	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:00%20GMT	https://html.themewin.com/edurock-preview/edurock/about-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/about-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:18	51803/51803	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/contact.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/contact.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:18	51818/51818	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:00%20GMT	https://html.themewin.com/edurock-preview/edurock/contact-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/contact-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:18	100579/100579	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/instructor-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/instructor-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:19	56308/56308	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/instructor-details.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/instructor-details.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:19	56321/56321	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/instructor-details-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/instructor-details-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:19	48781/48781	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/event-details.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/event-details.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:20	48785/48785	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/event-details-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/event-details-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:20	44419/44419	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/login.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/login.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:20	44385/44385	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/login-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/login-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:20	36356/36356	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/error.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/error.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:21	36368/36368	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2013:19:02%20GMT	https://html.themewin.com/edurock-preview/edurock/error-dark.html	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/error-dark.html	(from https://html.themewin.com/edurock-preview/edurock/index.html)
21:40:21	18137/18137	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Nov%202022%2020:12:30%20GMT	https://html.themewin.com/edurock-preview/edurock/img/grid/cart1.jpg	B:/New%20folder/MEA/html.themewin.com/edurock-preview/edurock/img/grid/cart1.jpg	(from https://html.themewin.com/edurock-preview/edurock/index.html)
